name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
John McCain,Male,1936,29,POLITICIAN,GOVERNMENT,4.655172413793103,4.0344827586206895,5.586206896551724,2.689655172413793,3.9655172413793114,3.3448275862068964,4.206896551724138,2.4827586206896552,5.0344827586206895,4.137931034482759,17.551724137931036,3.5479941910959703
Michael Phelps,Male,1985,34,SWIMMER,INDIVIDUAL SPORTS,5.088235294117647,3.0588235294117645,6.117647058823529,3.235294117647059,5.382352941176471,4.352941176470588,5.0588235294117645,2.617647058823529,4.941176470588236,3.5588235294117645,44.38235294117647,40.35834185911763
Oprah Winfrey,Female,1954,29,PRESENTER,MEDIA PERSONALITY,6.655172413793103,3.1379310344827585,6,2.2758620689655173,5.620689655172414,2,5.586206896551724,1.6551724137931034,5.379310344827586,2.6206896551724137,48.03448275862069,52.92978834529696
Tiger Woods,Male,1975,29,GOLFER,INDIVIDUAL SPORTS,4.689655172413793,4.206896551724138,5.0344827586206895,3.7586206896551726,4.517241379310345,3.827586206896552,3.5172413793103448,2.9655172413793105,3.931034482758621,4.0344827586206895,3.655172413793104,19.049721700861877
Neil Armstrong,Male,1930,28,ASTRONAUT,EXPLORERS,5.071428571428571,2.892857142857143,6.464285714285714,2.5357142857142856,6.392857142857143,3.7857142857142856,4.857142857142857,1.8214285714285712,5.892857142857143,2.7857142857142856,58.25,46.03927207820906
Rafael Nadal,Male,1986,10,TENNIS PLAYER,INDIVIDUAL SPORTS,5.4,4.4,6.7,3.4,5.3,3.5,4.1,2.3,4.1,3.1,29.4,64.70326172168254
Shaquille O'Neal,Male,1972,27,BASKETBALL PLAYER,TEAM SPORTS,6.148148148148148,2.740740740740741,6,2.407407407407407,5.777777777777778,2.888888888888889,5.481481481481482,2.1481481481481484,5.37037037037037,2.333333333333333,65.92592592592592,52.59483756003057
Paris Hilton,Female,1981,30,CELEBRITY,MEDIA PERSONALITY,5.866666666666666,4.066666666666666,3.966666666666667,4.166666666666667,5.166666666666667,2.4,4,3.566666666666667,3.7,3.2666666666666666,17.7,13.302199553375946
Hugh Hefner,Male,1926,30,BUSINESSPERSON,BUSINESS,6.033333333333333,3.7,4.9,2.5,5.533333333333333,2.6333333333333333,3.966666666666667,2.6666666666666665,4.7,2.6,12.666666666666666,-1.0467254323461788
Ted Bundy,Male,1946,24,EXTREMIST,OUTLAWS,4.458333333333333,5.125,3,4.666666666666667,3.8333333333333335,3.375,1.7083333333333333,2.958333333333333,2,2.875,-96,-70.66117241122774
